"(Linked) Lifecycle_Profile_did_complete","(Linked) Lifecycle_Stage","create_on","description","module_type","ModuleTypeChecklist_list","ModuleTypeForm_Question","ModuleTypeURL_link","title","Creation Date","Modified Date","Slug","Creator","unique id"
"owner@riverbendhardware.com , contact@maplestreetbakery.com , info@heartlandautoservice.com , admin@prairieviewdental.com , office@summitridgebuild.com , pharmacist@cornerstonepharmacy.com , sales@lakesideoutdoor.com , support@heritageinsurancegroup.com , team@evergreenlandscape.com , care@northcountyvets.com , hello@bluehorizontech.com","1772310721342x205610653087564560","","Many successful transitions begin years before a sale. This resource explains how to identify and gradually mentor potential internal successors while your business is still growing.","URL","","","https://msblawkc.com/the-heart-of-a-successful-succession-plan-how-to-choose-the-right-person-to-carry-your-legacy-forward/","Meet Your Successor Before You Need One","Feb 28, 2026 8:25 pm","Mar 1, 2026 12:57 am","","(App admin)","1772331903242x198603761068360860"
"owner@riverbendhardware.com , contact@maplestreetbakery.com , info@heartlandautoservice.com , admin@prairieviewdental.com , office@summitridgebuild.com , pharmacist@cornerstonepharmacy.com , sales@lakesideoutdoor.com , support@heritageinsurancegroup.com , team@evergreenlandscape.com , care@northcountyvets.com , hello@bluehorizontech.com","1772310721342x205610653087564560","","If your business cannot operate without you for 30 days, it is not succession-ready. Use this checklist to begin reducing operational dependency on the current owner.","CHECKLIST","Document daily operating procedures , Assign second-in-command decision authority , Create written vendor relationship summaries , List all recurring passwords and systems access points , Draft a 30-day absence continuity plan , Identify at least one internal leadership candidate","","","Owner Dependency Reduction Checklist","Feb 28, 2026 8:26 pm","Mar 1, 2026 12:57 am","","(App admin)","1772331988031x482332945796661840"
"contact@maplestreetbakery.com , info@heartlandautoservice.com , admin@prairieviewdental.com , office@summitridgebuild.com , pharmacist@cornerstonepharmacy.com , sales@lakesideoutdoor.com , support@heritageinsurancegroup.com , team@evergreenlandscape.com , care@northcountyvets.com , hello@bluehorizontech.com","1772310721342x205610653087564560","","Clarifying your long-term intention reduces reactive decision-making later. This short reflection becomes part of your private succession file.","FORM","","In five years, who do you ideally want to own this business, and what conditions would make that transition successful?","","5-Year Ownership Vision","Feb 28, 2026 8:32 pm","Mar 1, 2026 12:57 am","","(App admin)","1772332373898x330387944770950800"
"owner@riverbendhardware.com , contact@maplestreetbakery.com , info@heartlandautoservice.com , admin@prairieviewdental.com , office@summitridgebuild.com , pharmacist@cornerstonepharmacy.com , sales@lakesideoutdoor.com , support@heritageinsurancegroup.com , team@evergreenlandscape.com , care@northcountyvets.com , hello@bluehorizontech.com","1772310721342x205610653087564560","Feb 28, 2026 11:39 pm","High-growth businesses that document systems early are significantly easier to transition later.","URL","","","https://www.sba.gov/business-guide/plan-your-business/write-your-business-plan","Build Transferable Systems Early","Feb 28, 2026 11:39 pm","Mar 1, 2026 12:57 am","","brentrosenauer@gmail.com","1772343541903x612843366184124400"
"contact@maplestreetbakery.com , admin@prairieviewdental.com , office@summitridgebuild.com , pharmacist@cornerstonepharmacy.com , sales@lakesideoutdoor.com , team@evergreenlandscape.com , care@northcountyvets.com","1772310813976x886933535573839700","Feb 28, 2026 11:42 pm","Ensure the business can operate during unexpected absence.","CHECKLIST","Identify acting decision-maker , Document financial account access , Outline payroll process , Compile vendor account information , Store legal documents securely","","","Emergency Continuity Plan","Feb 28, 2026 11:42 pm","Mar 1, 2026 12:42 am","","brentrosenauer@gmail.com","1772343720025x394635166430003200"
"owner@riverbendhardware.com , contact@maplestreetbakery.com , info@heartlandautoservice.com , admin@prairieviewdental.com , office@summitridgebuild.com , pharmacist@cornerstonepharmacy.com , sales@lakesideoutdoor.com , team@evergreenlandscape.com , care@northcountyvets.com","1772310813976x886933535573839700","Feb 28, 2026 11:44 pm","Even stable businesses benefit from understanding how valuation works long before transition.","URL","","","https://www.investopedia.com/terms/b/business-valuation.asp","Understanding Business Valuation Basics","Feb 28, 2026 11:44 pm","Mar 1, 2026 12:42 am","","brentrosenauer@gmail.com","1772343888421x177615388685369340"
"owner@riverbendhardware.com , contact@maplestreetbakery.com , info@heartlandautoservice.com , admin@prairieviewdental.com , office@summitridgebuild.com , pharmacist@cornerstonepharmacy.com , sales@lakesideoutdoor.com , team@evergreenlandscape.com , care@northcountyvets.com","1772310813976x886933535573839700","Feb 28, 2026 11:47 pm","Reflect on potential ownership transition timing without committing publicly.","FORM","","If you were to transition ownership within the next 10 years, what would need to be true first?","","Ownership Timeline Reflection","Feb 28, 2026 11:47 pm","Mar 1, 2026 12:43 am","","brentrosenauer@gmail.com","1772344050801x831438174768332800"
"contact@maplestreetbakery.com , admin@prairieviewdental.com , office@summitridgebuild.com , pharmacist@cornerstonepharmacy.com , sales@lakesideoutdoor.com , team@evergreenlandscape.com , care@northcountyvets.com","1772310834611x936345282110342000","Feb 28, 2026 11:48 pm","Pre-Transition Documentation Audit","CHECKLIST","Up-to-date Financial Statements , Tax Returns Organized , Key Employee Role Clarity , SOPs Documented , Customer Concentration Analysis","","","Pre-Transition Documentation Audit","Feb 28, 2026 11:48 pm","Mar 1, 2026 12:43 am","","brentrosenauer@gmail.com","1772344106151x345200800207732740"
"contact@maplestreetbakery.com , admin@prairieviewdental.com , pharmacist@cornerstonepharmacy.com , sales@lakesideoutdoor.com , team@evergreenlandscape.com , care@northcountyvets.com","1772310834611x936345282110342000","Feb 28, 2026 11:49 pm","Explore whether internal, family, or external successors are viable.","FORM","","Which successor pathway feels most realistic today (internal, family, external buyer), and why?","","Successor Pathway Assessment","Feb 28, 2026 11:49 pm","Mar 1, 2026 12:43 am","","brentrosenauer@gmail.com","1772344165641x574059666056151040"
"contact@maplestreetbakery.com , admin@prairieviewdental.com , pharmacist@cornerstonepharmacy.com , sales@lakesideoutdoor.com , team@evergreenlandscape.com , care@northcountyvets.com","1772310834611x936345282110342000","Feb 28, 2026 11:50 pm","Understanding financing structures can widen your pool of future successors.","URL","","","https://www.sba.gov/funding-programs/loans","Financing Options for Buyers","Feb 28, 2026 11:50 pm","Mar 1, 2026 12:43 am","","brentrosenauer@gmail.com","1772344214225x854119307678842900"
