"(Linked) Lifecycle_Module","(Linked) Lifecycle_Profile","response_text","status","updated_at","Creation Date","Modified Date"
"Meet Your Successor Before You Need One","owner@riverbendhardware.com","","COMPLETED","Mar 1, 2026 12:10 am","Mar 1, 2026 12:10 am","Mar 1, 2026 12:10 am"
"Owner Dependency Reduction Checklist","owner@riverbendhardware.com","","COMPLETED","Mar 1, 2026 12:10 am","Mar 1, 2026 12:10 am","Mar 1, 2026 12:10 am"
"Build Transferable Systems Early","owner@riverbendhardware.com","","COMPLETED","Mar 1, 2026 12:10 am","Mar 1, 2026 12:10 am","Mar 1, 2026 12:10 am"
"Understanding Business Valuation Basics","owner@riverbendhardware.com","","COMPLETED","Mar 1, 2026 12:10 am","Mar 1, 2026 12:10 am","Mar 1, 2026 12:10 am"
"Ownership Timeline Reflection","owner@riverbendhardware.com","test","COMPLETED","Mar 1, 2026 12:13 am","Mar 1, 2026 12:13 am","Mar 1, 2026 12:13 am"
"Meet Your Successor Before You Need One","contact@maplestreetbakery.com","","COMPLETED","Mar 1, 2026 12:15 am","Mar 1, 2026 12:15 am","Mar 1, 2026 12:15 am"
"Owner Dependency Reduction Checklist","contact@maplestreetbakery.com","","COMPLETED","Mar 1, 2026 12:15 am","Mar 1, 2026 12:15 am","Mar 1, 2026 12:15 am"
"5-Year Ownership Vision","contact@maplestreetbakery.com","test","COMPLETED","Mar 1, 2026 12:15 am","Mar 1, 2026 12:15 am","Mar 1, 2026 12:15 am"
"Build Transferable Systems Early","contact@maplestreetbakery.com","","COMPLETED","Mar 1, 2026 12:16 am","Mar 1, 2026 12:16 am","Mar 1, 2026 12:16 am"
"Emergency Continuity Plan","contact@maplestreetbakery.com","","COMPLETED","Mar 1, 2026 12:16 am","Mar 1, 2026 12:16 am","Mar 1, 2026 12:16 am"
"Understanding Business Valuation Basics","contact@maplestreetbakery.com","","COMPLETED","Mar 1, 2026 12:16 am","Mar 1, 2026 12:16 am","Mar 1, 2026 12:16 am"
"Ownership Timeline Reflection","contact@maplestreetbakery.com","test","COMPLETED","Mar 1, 2026 12:16 am","Mar 1, 2026 12:16 am","Mar 1, 2026 12:16 am"
"Pre-Transition Documentation Audit","contact@maplestreetbakery.com","","COMPLETED","Mar 1, 2026 12:16 am","Mar 1, 2026 12:16 am","Mar 1, 2026 12:16 am"
"Successor Pathway Assessment","contact@maplestreetbakery.com","yrdy","COMPLETED","Mar 1, 2026 12:17 am","Mar 1, 2026 12:17 am","Mar 1, 2026 12:17 am"
"Financing Options for Buyers","contact@maplestreetbakery.com","","COMPLETED","Mar 1, 2026 12:17 am","Mar 1, 2026 12:17 am","Mar 1, 2026 12:17 am"
"Legal Considerations in Ownership Transfer","contact@maplestreetbakery.com","","COMPLETED","Mar 1, 2026 12:18 am","Mar 1, 2026 12:18 am","Mar 1, 2026 12:18 am"
"Build Transferable Systems Early","info@heartlandautoservice.com","","COMPLETED","Mar 1, 2026 12:24 am","Mar 1, 2026 12:24 am","Mar 1, 2026 12:24 am"
"5-Year Ownership Vision","info@heartlandautoservice.com","test","COMPLETED","Mar 1, 2026 12:25 am","Mar 1, 2026 12:25 am","Mar 1, 2026 12:25 am"
"Owner Dependency Reduction Checklist","info@heartlandautoservice.com","","COMPLETED","Mar 1, 2026 12:25 am","Mar 1, 2026 12:25 am","Mar 1, 2026 12:25 am"
"Meet Your Successor Before You Need One","info@heartlandautoservice.com","","COMPLETED","Mar 1, 2026 12:25 am","Mar 1, 2026 12:25 am","Mar 1, 2026 12:25 am"
"Ownership Timeline Reflection","info@heartlandautoservice.com","test","COMPLETED","Mar 1, 2026 12:25 am","Mar 1, 2026 12:25 am","Mar 1, 2026 12:25 am"
"Understanding Business Valuation Basics","info@heartlandautoservice.com","","COMPLETED","Mar 1, 2026 12:25 am","Mar 1, 2026 12:25 am","Mar 1, 2026 12:25 am"
"Pre-Transition Documentation Audit","admin@prairieviewdental.com","","COMPLETED","Mar 1, 2026 12:27 am","Mar 1, 2026 12:27 am","Mar 1, 2026 12:27 am"
"Successor Pathway Assessment","admin@prairieviewdental.com","t","COMPLETED","Mar 1, 2026 12:27 am","Mar 1, 2026 12:27 am","Mar 1, 2026 12:27 am"
"Meet Your Successor Before You Need One","admin@prairieviewdental.com","","COMPLETED","Mar 1, 2026 12:27 am","Mar 1, 2026 12:27 am","Mar 1, 2026 12:27 am"
"Owner Dependency Reduction Checklist","admin@prairieviewdental.com","","COMPLETED","Mar 1, 2026 12:27 am","Mar 1, 2026 12:27 am","Mar 1, 2026 12:27 am"
"5-Year Ownership Vision","admin@prairieviewdental.com","t","COMPLETED","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am"
"Build Transferable Systems Early","admin@prairieviewdental.com","","COMPLETED","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am"
